mus_triL_hum_ax.Xma,mus_triL_hum_ax.Yma,mus_triL_hum_ax.Zma,mus_triL_scap_ax.Xma,mus_triL_scap_ax.Yma,mus_triL_scap_ax.Zma
1.971058862,0.8437424907,0.4893666543,1.971058862,0.8437424907,0.4893666543
1.971058862,0.8437424907,0.4893666543,1.971058862,0.8437424907,0.4893666543
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
1.920352552,1.071395773,-0.3289737185,1.957754434,0.7497382852,0.5129216074
1.924490979,1.070555863,-0.2951868742,1.968504185,0.7152204379,0.5274882394
1.927694779,1.069710696,-0.2647793558,1.977492239,0.6833921441,0.5405701162
1.930324466,1.069224886,-0.2376808634,1.984834487,0.6547661165,0.5520551806
1.93288687,1.06933442,-0.2135140391,1.990774378,0.6297242314,0.5619194559
1.93591212,1.070130486,-0.1918573903,1.995622126,0.608508899,0.5702065482
1.939819786,1.071571001,-0.1724466705,1.999700564,0.5911745823,0.5770221695
1.944804664,1.07352258,-0.1552698227,2.003291327,0.5775713813,0.5825183933
1.950771186,1.07581711,-0.1405490953,2.006587765,0.5673986606,0.5868599099
1.957338558,1.078298555,-0.1286379371,2.00967546,0.5602950367,0.5901889328
1.963929634,1.08084269,-0.1198752197,2.012546534,0.5558985467,0.5926127248
1.969924546,1.083351245,-0.1144363905,2.015141835,0.5538369507,0.5942219499
1.974831346,1.085736212,-0.112214959,2.017397359,0.553670323,0.5951262642
1.978412186,1.087909744,-0.1127652811,2.019278957,0.5548467885,0.5954805798
1.980722152,1.089789601,-0.1153286077,2.020795056,0.5567267913,0.5954825732
1.982048085,1.091309998,-0.1189413669,2.021989385,0.5586849486,0.595339069
1.98277211,1.092421052,-0.1225973373,2.022923313,0.5602478072,0.5952172033
1.983214426,1.093063975,-0.1254244131,2.023652696,0.5612114277,0.5952001771
1.983518585,1.093142843,-0.1268497843,2.024203345,0.561714707,0.5952554878
1.983621188,1.092525826,-0.1267473299,2.024540612,0.5622862875,0.5952093295
1.983314778,1.091109315,-0.1255675501,2.02453649,0.5638818206,0.5947224884
1.982366584,1.088936167,-0.1244430824,2.023938339,0.567893621,0.5932759308
1.980632467,1.086320272,-0.125252425,2.022350892,0.5760882547,0.5901828729
1.978095176,1.083895753,-0.1306074425,2.019234359,0.590438101,0.5846390273
1.974774879,1.082501283,-0.1436962903,2.013923833,0.6128357741,0.5758171736
1.970518655,1.082847568,-0.1678804447,2.005686489,0.6446992244,0.5630087169
1.964759986,1.0850321,-0.2059780612,1.993846643,0.6865197714,0.5458085041
1.956430328,1.088130767,-0.259337336,1.977987363,0.7375143946,0.5242968771
1.94418853,1.090196917,-0.327073657,1.958155522,0.795651342,0.4991095097
1.926933034,1.08885973,-0.4059842144,1.934881588,0.858255873,0.4712606422
1.904302827,1.082320216,-0.4913862861,1.908844406,0.9230650244,0.4416955091
1.876838654,1.070183458,-0.5785264607,1.880260219,0.9891928975,0.4107653004
1.845762439,1.053624738,-0.6638005876,1.848360818,1.057399057,0.377948302
1.812600824,1.034850953,-0.745193151,1.811338956,1.129435462,0.342027754
1.778878964,1.016251718,-0.8218359849,1.766865309,1.206770212,0.3016755023
1.74597124,0.9997020238,-0.8929624623,1.713030948,1.289266797,0.2562105942
1.715132566,0.9862485773,-0.9567193454,1.649496352,1.374399921,0.2062725736
1.687692241,0.9761349717,-1.009462761,1.578534427,1.457417669,0.1541669735
1.66525945,0.9690088121,-1.046208281,1.505403433,1.532550171,0.1036386329
1.649614793,0.9642112667,-1.062453196,1.437385847,1.594854691,0.05894704776
1.642132397,0.9611214135,-1.056557708,1.381438175,1.641779096,0.02350114598
1.643093764,0.9594835191,-1.031105899,1.341598758,1.673618056,-0.001260168597
1.651530066,0.9595337063,-0.9921662037,1.317829153,1.692827605,-0.01609855821
1.665757689,0.9617782976,-0.9468497318,1.306927538,1.702854068,-0.02327389811
1.684126494,0.9665180183,-0.9006495313,1.304589638,1.707094041,-0.02544824547
1.705425348,0.9734405831,-0.8559452641,1.307175455,1.70823675,-0.02481713713
1.728797401,0.9815789972,-0.8121748881,1.312394672,1.708019717,-0.02277581461
1.753399557,0.9896652145,-0.7672784102,1.319006448,1.707359207,-0.02007263627
1.778162031,0.996649881,-0.7195355627,1.326121581,1.706722896,-0.01718625007
1.801865918,1.002085183,-0.6688927299,1.332723098,1.706501482,-0.01462044565
1.823457483,1.00618535,-0.6172358029,1.337685137,1.707156946,-0.01294182257
1.84231982,1.009580885,-0.5676606263,1.340141129,1.709104295,-0.01260456601
1.858308134,1.012936446,-0.5232867385,1.339844772,1.712489407,-0.01374628669
1.871599497,1.016641953,-0.4862589672,1.33727349,1.717065488,-0.016111186
1.88251802,1.020701114,-0.4572991767,1.33345615,1.722250444,-0.0191328499
1.891439385,1.02481274,-0.435811842,1.329642104,1.727306671,-0.02211415028
1.898763687,1.028552927,-0.420345913,1.326946653,1.731550713,-0.02442507255
1.904905897,1.031557851,-0.409177392,1.326065012,1.734526526,-0.02566378546
1.910266952,1.033643741,-0.4008152954,1.32711832,1.736110947,-0.02574702782
1.915179933,1.034841924,-0.3942972562,1.329670876,1.73652989,-0.02490840519
1.919853359,1.035356386,-0.3892251522,1.332914698,1.736274289,-0.02360299149
1.924340002,1.035474422,-0.385581549,1.335960978,1.735933443,-0.02234637891
1.928552484,1.035464861,-0.383432711,1.338135946,1.73599345,-0.02154149633
1.932326956,1.035498814,-0.3826435257,1.33918626,1.736672659,-0.02135058176
1.935511736,1.035611088,-0.3827074254,1.339339047,1.737849579,-0.02165066817
1.938041223,1.03571172,-0.3827536772,1.33920815,1.739107388,-0.02208275095
1.939958196,1.035641538,-0.3817480103,1.339571471,1.739880937,-0.02218051171
1.941369146,1.035255586,-0.378856742,1.34107532,1.739662443,-0.02154492277
1.942339969,1.034506563,-0.3739025286,1.34394638,1.738208493,-0.02001612184
1.942762209,1.033495348,-0.3678166686,1.347799255,1.73569255,-0.01779272489
1.942227598,1.032458776,-0.3629731636,1.351597781,1.732757278,-0.01546238398
1.939949152,1.03168147,-0.3632431181,1.353798577,1.730427132,-0.01392075149
1.934762826,1.031337657,-0.3735520064,1.3526878,1.729845071,-0.01416411483
1.925228829,1.031301964,-0.3987822343,1.34689116,1.731846338,-0.01696662061
1.909856176,1.031019198,-0.4421529418,1.335959801,1.736489699,-0.02251601942
1.887463267,1.029543761,-0.5036522085,1.32082608,1.742771871,-0.03015428389
1.857639669,1.025790328,-0.5793487651,1.303884189,1.748735653,-0.03838006478
1.821148337,1.01889711,-0.6621447266,1.288551927,1.751991627,-0.04517306914
1.780013244,1.008511523,-0.74380156,1.278404635,1.750429484,-0.04853837113
1.737138956,0.9948760133,-0.8173676643,1.276206094,1.742798173,-0.0470494772
1.695609191,0.978746447,-0.8789617803,1.283232427,1.728926857,-0.0401714372
1.658052381,0.9612800256,-0.9282807701,1.29914599,1.709547953,-0.02825478635
1.626394731,0.9439924039,-0.9678197502,1.322419733,1.685828224,-0.01223239097
1.602021558,0.9287607712,-1.001218391,1.351091476,1.658792102,0.006841619054
